attach-session	attach	-c	[-dErx] [-c working-directory] [-f flags] [-t target-session]
bind-key	bind	-N	[-nr] [-T key-table] [-N note] key [command [argument ...]]
break-pane	breakp	-F	[-abdPW] [-F format] [-n window-name] [-s src-pane] [-t dst-window] [-x width] [-y height] [-X x-position] [-Y y-position]
capture-pane	capturep	-E	[-aCeFHJLMNpPqRT] [-b buffer-name] [-E end-line] [-S start-line] [-t target-pane]
choose-buffer	-	-F	[-kNrZ] [-F format] [-f filter] [-K key-format] [-O sort-order] [-t target-pane] [template]
choose-tree	-	-F	[-GhkNrswZ] [-F format] [-f filter] [-K key-format] [-O sort-order] [-t target-pane] [template]
clear-history	clearhist	-t	[-H] [-t target-pane]
clear-prompt-history	clearphist	-T	[-T prompt-type]
command-prompt	-	-I	[-1CbeFiklNP] [-I inputs] [-p prompts] [-t target-client] [-T prompt-type] [template]
confirm-before	confirm	-c	[-by] [-c confirm-key] [-p prompt] [-t target-client] command
copy-mode	-	-s	[-dekHMqSu] [-s src-pane] [-t target-pane]
delete-buffer	deleteb	-b	[-b buffer-name]
detach-client	detach	-E	[-aP] [-E shell-command] [-s target-session] [-t target-client]
display-menu	menu	-C	[-MO] [-b border-lines] [-c target-client] [-C starting-choice] [-H selected-style] [-s style] [-S border-style] [-t target-pane] [-T title] [-x position] [-y position] name [key] [command] ...
display-message	display	-F	[-aCIlNpv] [-c target-client] [-d delay] [-F format] [-t target-pane] [message]
display-panes	displayp	-d	[-bN] [-d duration] [-t target-client] [template]
display-popup	popup	-S	[-BCEkN] [-b border-lines] [-c target-client] [-d start-directory] [-e environment] [-h height] [-s style] [-S border-style] [-t target-pane] [-T title] [-w width] [-x position] [-y position] [shell-command [argument ...]]
find-window	findw	-t	[-CiNrTZ] [-t target-pane] match-string
has-session	has	-t	[-t target-session]
if-shell	if	-t	[-bF] [-t target-pane] shell-command command [command]
join-pane	joinp	-l	[-bdfhv] [-l size] [-s src-pane] [-t dst-pane]
kill-pane	killp	-f	[-a] [-f filter] [-t target-pane]
kill-server	-	-	@EMPTY@
kill-session	-	-f	[-aCg] [-f filter] [-t target-session]
kill-window	killw	-f	[-a] [-f filter] [-t target-window]
last-pane	lastp	-t	[-deZ] [-t target-window]
last-window	last	-t	[-t target-session]
list-buffers	lsb	-F	[-F format] [-f filter] [-O order]
list-clients	lsc	-F	[-F format] [-f filter] [-O order][-t target-session]
list-commands	lscm	-F	[-F format] [command]
list-keys	lsk	-F	[-1aNr] [-F format] [-O order] [-P prefix-string][-T key-table] [key]
list-panes	lsp	-F	[-asr] [-F format] [-f filter] [-O order][-t target-window]
list-sessions	ls	-F	[-r] [-F format] [-f filter] [-O order]
list-windows	lsw	-F	[-ar] [-F format] [-f filter] [-O order][-t target-session]
load-buffer	loadb	-b	[-b buffer-name] [-t target-client] path
lock-client	lockc	-t	[-t target-client]
lock-server	lock	-	@EMPTY@
lock-session	locks	-t	[-t target-session]
move-pane	movep	-P	[-bdfhMv] [-D lines] [-l size] [-L columns] [-P position] [-R columns] [-s src-pane] [-t dst-pane] [-U lines] [-X x-position] [-Y y-position] [-z z-index]
move-window	movew	-s	[-abdkr] [-s src-window] [-t dst-window]
new-session	new	-F	[-AdDEPX] [-c start-directory] [-e environment] [-F format] [-f flags] [-n window-name] [-s session-name] [-t target-session] [-x width] [-y height] [shell-command [argument ...]]
new-window	neww	-F	[-abdEkPS] [-c start-directory] [-e environment] [-F format] [-n window-name] [-t target-window] [shell-command [argument ...]]
next-layout	nextl	-t	[-t target-window]
next-window	next	-t	[-a] [-t target-session]
paste-buffer	pasteb	-b	[-dprS] [-s separator] [-b buffer-name] [-t target-pane]
pipe-pane	pipep	-t	[-IOo] [-t target-pane] [shell-command]
previous-layout	prevl	-t	[-t target-window]
previous-window	prev	-t	[-a] [-t target-session]
refresh-client	refresh	-A	[-cDlLRSU] [-A pane:state] [-B name:what:format] [-C XxY] [-f flags] [-r pane:report] [-t target-client] [adjustment]
rename-session	rename	-t	[-t target-session] new-name
rename-window	renamew	-t	[-t target-window] new-name
resize-pane	resizep	-t	[-MTZ] [-D lines] [-L columns] [-R columns] [-U lines] [-x width] [-y height] [-t target-pane]
resize-window	resizew	-t	[-aADLRU] [-x width] [-y height] [-t target-window] [adjustment]
respawn-pane	respawnp	-c	[-Ek] [-c start-directory] [-e environment] [-t target-pane] [shell-command [argument ...]]
respawn-window	respawnw	-c	[-Ek] [-c start-directory] [-e environment] [-t target-window] [shell-command [argument ...]]
rotate-window	rotatew	-t	[-DUZ] [-t target-window]
