workload variant instructions_main instructions_indexed_only instructions_candidate indexed_only_vs_main candidate_vs_main spread_within_binary
mixed tabs 1224275883 1212504853 1212504838 -0.9615% -0.9615% 0.00001%
mixed spaces 1188079561 1176308550 1176308507 -0.9908% -0.9908% 0.00002%
alltabs tabs 3045313118 3045313136 3045313275 +0.0000% +0.0000% 0.00001%
alltabs spaces 649910649 649910632 649910649 -0.0000% +0.0000% 0.00001%
htsevery tabs 939759976 939759978 939760083 +0.0000% +0.0000% 0.00001%
htsevery spaces 208759316 208759299 208759308 -0.0000% -0.0000% 0.00001%
widestops tabs 7048574961 7048574852 7048574813 -0.0000% -0.0000% 0.00002%
widestops spaces 1487198840 1487198831 1487198888 -0.0000% +0.0000% 0.00000%
overwrite tabs 734031096 734031069 734031074 -0.0000% -0.0000% 0.00001%
overwrite spaces 434676375 434676357 434676365 -0.0000% -0.0000% 0.00000%
edits tabs 2268230894 2267332064 2292797529 -0.0396% +1.0831% 0.00001%
edits spaces 1904004395 1903105341 1928570988 -0.0472% +1.2903% 0.00002%
reflow tabs 127425052 127441341 127441334 +0.0128% +0.0128% 0.00001%
reflow spaces 154131922 154148206 154148212 +0.0106% +0.0106% 0.00001%
